country,year,water_pct,norm_water,norm_water_withpts,norm_water_withpts_log5,water_log32_n,country_c
 Albania,2018.0,83.81984159,0.7723103528160119,3.861551764,24.71393129,24.71393129011238,Albania
 Algeria,2018.0,85.88565628,0.8013808109657231,4.006904055,25.64418595,25.64418595090314,Algeria
 American Samoa,2017.5,94.36839439,0.9207511903203754,4.603755951,29.46403809,29.464038090252014,American Samoa
 Andorra,2018.0,95.31999908,0.9341423160828288,4.67071158,29.89255411,29.892554114650522,Andorra
 Antigua and Barbuda,2018.0,98.36514458,0.9769940661676977,4.884970331,31.26381012,31.263810117366326,Antigua and Barbuda
 Argentina,2015.0,98.98230999,0.985678911575034,4.928394558,31.54172517,31.541725170401087,Argentina
 Armenia,2018.0,92.1241595,0.8891699760112323,4.44584988,28.45343923,28.453439232359433,Armenia
 Australia,2018.0,99.96893926,0.9995629085480706,4.997814543,31.98601307,31.98601307353826,Australia
 Austria,2018.0,99.45205888,0.9922892893178787,4.961446446,31.75325726,31.75325725817212,Austria
 Azerbaijan,2017.545455,83.89854895,0.7734179347429052,3.867089673,24.74937391,24.749373911772967,Azerbaijan
 Bahamas,2016.5,98.87983311,0.9842368413517106,4.921184207,31.49557892,31.49557892325474,Bahamas
 Bahrain,2018.0,99.61095803,0.994525342296135,4.972626711,31.82481095,31.82481095347632,Bahrain
 Bangladesh,2018.0,69.50549641,0.5708767128530262,2.854383565,18.26805481,18.26805481129684,Bangladesh
 Barbados,2017.25,96.19134016,0.9464039601319685,4.732019801,30.28492673,30.28492672422299,Barbados
 Belarus,2018.0,96.13284829,0.9455808536514287,4.727904268,30.25858731,30.25858731684572,Belarus
 Belgium,2018.0,99.85309253,0.997932695764442,4.989663478,31.93384626,31.933846264462144,Belgium
 Belize,2018.0,94.24368722,0.9189962920790167,4.594981461,29.40788135,29.407881346528534,Belize
 Benin,2018.0,42.56033585,0.19170032002917442,0.9585016,6.134410241,6.1344102409335814,Benin
 Bermuda,2018.0,99.90314002,0.9986369716467782,4.993184858,31.95638309,31.956383092696903,Bermuda
 Bhutan,2018.0,82.96004754,0.7602112003272206,3.801056001,24.32675841,24.326758410471058,Bhutan
 Bolivia ,2018.0,59.52066045,0.4303685843592214,2.151842922,13.7717947,13.771794699495084,Bolivia
" Bonaire, Sint Eustatius and Saba",2018.0,98.66824483,0.9812593389317287,4.906296695,31.40029885,31.400298845815318,"Bonaire, Saint Eustatius and Saba"
 Bosnia and Herzegovina,2017.571429,94.60757888,0.9241170307998063,4.620585154,29.57174498,29.571744985593803,Bosnia and Herzegovina
 Botswana,2018.0,97.02339059,0.9581127001853972,4.790563501,30.6596064,30.65960640593271,Botswana
 Brazil,2018.0,91.65935121,0.8826291231421475,4.413145616,28.24413194,28.24413194054872,Brazil
 British Virgin Islands,2018.0,99.86438356,0.9980915848538995,4.990457924,31.93893072,31.938930715324783,British Virgin Islands
 Brunei Darussalam,2018.0,99.9000434,0.9985933955397096,4.992966978,31.95498866,31.954988657270707,Brunei Darussalam
 Bulgaria,2018.0,97.73069497,0.9680659948722005,4.840329974,30.97811183,30.978111835910415,Bulgaria
 Burkina Faso,2018.0,42.97643941,0.19755579253863056,0.987778963,6.321785363,6.321785361236178,Burkina Faso
 Burundi,2018.0,43.38852389,0.2033547079437609,1.01677354,6.507350653,6.507350654200349,Burundi
 Cote d'Ivoire,2018.0,46.86389146,0.25226060835564523,1.261303042,8.072339466,8.072339467380647,Cote d'Ivoire
 Cabo Verde,2018.0,96.54791497,0.9514217350280053,4.757108675,30.44549552,30.44549552089617,Cabo Verde
 Cambodia,2018.0,61.3475277,0.4560765378331133,2.280382689,14.59444921,14.594449210659626,Cambodia
 Cameroon,2018.235294,59.60495012,0.4315547214004813,2.157773607,13.80975109,13.809751084815401,Cameroon
 Canada,2018.0,99.085957,0.9871374480454795,4.93568724,31.58839834,31.588398337455345,Canada
 Cayman Islands,2018.0,95.64877301,0.938768872772084,4.693844364,30.04060393,30.040603928706687,Cayman Islands
 Central African Republic,2018.0,30.02174913,0.015255422882914817,0.076277114,0.488173533,0.48817353225327415,Central African Republic
 Chad,2018.0,30.52929526,0.022397689129076918,0.111988445,0.716726051,0.7167260521304614,Chad
 Chile,2018.0,99.23101771,0.9891787643937637,4.945893822,31.65372046,31.65372046060044,Chile
 China,2018.6,96.25994007,0.9473693084869698,4.736846542,30.31581787,30.315817871583032,China
 Colombia,2018.0,79.8526758,0.7164837931398582,3.582418966,22.92748138,22.927481380475463,Colombia
 Comoros,2016.0,65.88940152,0.5199904762152526,2.599952381,16.63969524,16.639695238888084,Comoros
 Democratic Republic of the Congo,2017.227273,59.71960084,0.4331681037496959,2.165840519,13.86137932,13.861379319990268,DR Congo
 Cook Islands,2018.0,99.96496607,0.9995069972147963,4.997534986,31.98422391,31.98422391087348,Cook Islands
 Costa Rica,2018.0,88.52599958,0.8385361229959226,4.192680615,26.83315594,26.833155935869524,Costa Rica
 Cuba,2018.0,93.41611267,0.9073505372889098,4.536752686,29.03521719,29.035217193245114,Cuba
 Cyprus,2018.0,99.61867072,0.9946338764415024,4.973169382,31.82828404,31.828284046128076,Cyprus
 Czechia,2018.0,98.88108501,0.9842544582786953,4.921272291,31.49614267,31.49614266491825,Czechia
 Democratic People's Republic of Korea,2018.0,80.8643517,0.7307202500952598,3.65360125,23.383048,23.383048003048312,North Korea
 Democratic Republic of the Congo,2018.0,28.93766313,0.0,0.0,0.0,0.0,DR Congo
 Denmark,2018.0,99.75142052,0.9965019517940319,4.982509759,31.88806246,31.88806245740902,Denmark
 Djibouti,2018.0,90.70138491,0.8691484758373385,4.345742379,27.81275123,27.81275122679483,Djibouti
 Dominica,2015.5,95.42065606,0.9355587763968787,4.677793882,29.93788084,29.937880844700118,Dominica
 Dominican Republic,2018.0,63.87142197,0.49159316142258463,2.457965807,15.73098117,15.730981165522708,Dominican Republic
 Ecuador,2018.0,82.63701001,0.7556653671302211,3.778326836,24.18129175,24.181291748167077,Ecuador
 Egypt,2017.5625,94.7038702,0.9254720568831188,4.627360284,29.61510582,29.615105820259803,Egypt
 El Salvador,2017.285714,94.89391492,0.9281463950539515,4.640731976,29.70068464,29.700684641726447,El Salvador
 Equatorial Guinea,2015.166667,52.89472703,0.3371274426821421,1.685637213,10.78807817,10.788078165828548,Equatorial Guinea
 Eritrea,2015.0,69.17346052,0.5662042533671044,2.831021267,18.11853611,18.118536107747342,Eritrea
 Estonia,2018.0,98.42604717,0.9778510966663064,4.889255483,31.29123509,31.291235093321806,Estonia
 Eswatini,2017.5625,54.85730145,0.364745088068478,1.823725441,11.67184282,11.671842818191296,Eswatini
 Ethiopia,2018.0,29.81572587,0.012356232269793084,0.061781161,0.395399432,0.3953994326333787,Ethiopia
 Falkland Islands (Malvinas),2017.0,95.01859789,0.9299009527492337,4.649504764,29.75683049,29.756830487975478,Falkland Islands
 Faroe Islands,2018.0,100.0,1.0,5.0,32.0,32.0,Faroe Islands
 Fiji,2018.375,73.14917031,0.6221510455092356,3.110755228,19.90883346,19.90883345629554,Fiji
 Finland,2018.0,99.80308142,0.9972289318269923,4.986144659,31.91132582,31.911325818463755,Finland
 France,2018.0,99.61847794,0.994631163612056,4.973155818,31.82819723,31.82819723558579,France
 French Guiana,2018.0,92.53456926,0.8949453245021043,4.474726622,28.63825038,28.638250384067337,French Guiana
 French Polynesia,2018.0,92.6092457,0.8959961827103928,4.479980914,28.67187785,28.67187784673257,French Polynesia
 Gabon,2018.0,93.51510287,0.9087435424215878,4.543717712,29.07979336,29.07979335749081,Gabon
 Gambia,2018.0,49.33768462,0.28707220151399443,1.435361008,9.18631045,9.186310448447822,Gambia
 Georgia,2018.0,85.64379425,0.7979772917366487,3.989886458,25.53527333,25.535273335572757,Georgia
 Germany,2018.0,99.95299308,0.9993385114806175,4.996692557,31.97883237,31.97883236737976,Germany
 Ghana,2018.0,56.99414363,0.39481505584774057,1.97407528,12.63408179,12.634081787127698,Ghana
 Gibraltar,2018.0,100.0,1.0,5.0,32.0,32.0,Gibraltar
 Greece,2018.0,99.51864376,0.9932262818646032,4.966131409,31.78324102,31.7832410196673,Greece
 Greenland,2018.0,100.0,1.0,5.0,32.0,32.0,Greenland
 Grenada,2015.5,93.35390602,0.9064751558598723,4.532375779,29.00720499,29.007204987515912,Grenada
 Guadeloupe,2018.0,98.30785511,0.9761878800426227,4.8809394,31.23801216,31.238012161363926,Guadeloupe
 Guam,2018.0,99.37749587,0.9912400273137824,4.956200136,31.71968087,31.719680874041035,Guam
 Guatemala,2017.625,75.15468851,0.6503730022916145,3.251865012,20.81193608,20.811936073331665,Guatemala
 Guinea,2018.0,50.22304824,0.2995311728762741,1.497655864,9.584997531,9.584997532040772,Guinea
 Guinea-Bissau,2018.0,37.21367809,0.11646133978312556,0.582306699,3.726762872,3.726762873060018,Guinea-Bissau
 Guyana,2018.0,88.69029243,0.8408480769399724,4.204240385,26.90713846,26.907138462079118,Guyana
 Haiti,2018.0,49.11279314,0.28390749444263247,1.419537472,9.085039822,9.085039822164239,Haiti
 Honduras,2018.0,81.04027778,0.7331959086191531,3.665979543,23.46226908,23.462269075812898,Honduras
 Hungary,2018.0,97.90296343,0.9704901828117998,4.852450914,31.05568585,31.055685849977593,Hungary
