country,year,gov,country_c,norm_gov,func_gov_pts
Norway,2021.5,9.64,Norway,1.0,16.0
Sweden,2021.5,9.523333333333333,Sweden,0.9878976486860304,15.806362378976486
Finland,2021.5,9.345,Finland,0.9693983402489627,15.510373443983402
Denmark,2021.5,9.17,Denmark,0.9512448132780082,15.219917012448132
New Zealand,2021.5,9.17,New Zealand,0.9512448132780082,15.219917012448132
Taiwan,2021.5,9.165000000000001,Taiwan,0.9507261410788382,15.211618257261412
Switzerland,2021.5,9.11,Switzerland,0.9450207468879667,15.120331950207467
Netherlands,2021.5,9.049999999999999,Netherlands,0.9387966804979252,15.020746887966803
Iceland,2021.5,8.988333333333333,Iceland,0.932399723374827,14.918395573997232
Luxembourg,2021.5,8.87,Luxembourg,0.9201244813278007,14.72199170124481
Uruguay,2021.5,8.81,Uruguay,0.9139004149377593,14.622406639004149
Japan,2021.5,8.63,Japan,0.8952282157676349,14.323651452282158
Australia,2021.5,8.63,Australia,0.8952282157676349,14.323651452282158
Canada,2021.5,8.628333333333334,Canada,0.8950553250345782,14.320885200553251
Germany,2021.5,8.39,Germany,0.8703319502074689,13.925311203319502
South Korea,2021.5,8.213333333333333,South Korea,0.8520055325034577,13.632088520055323
Chile,2021.5,8.153333333333334,Chile,0.8457814661134163,13.532503457814661
Belgium,2021.5,8.093333333333334,Belgium,0.8395573997233748,13.432918395573997
Ireland,2021.5,8.035000000000002,Ireland,0.8335062240663902,13.336099585062243
Estonia,2021.5,7.978333333333334,Estonia,0.827627939142462,13.242047026279392
Mauritius,2021.5,7.918333333333334,Mauritius,0.8214038727524204,13.142461964038727
France,2021.5,7.68,France,0.7966804979253111,12.746887966804978
Malaysia,2021.5,7.68,Malaysia,0.7966804979253111,12.746887966804978
Singapore,2021.5,7.678333333333334,Singapore,0.7965076071922544,12.744121715076071
Israel,2021.5,7.62,Israel,0.7904564315352697,12.647302904564315
Indonesia,2021.5,7.501666666666666,Indonesia,0.7781811894882433,12.450899031811893
United Kingdom,2021.5,7.5,United Kingdom,0.7780082987551866,12.448132780082986
Austria,2021.5,7.381666666666667,Austria,0.7657330567081604,12.251728907330566
India,2021.5,7.381666666666667,India,0.7657330567081604,12.251728907330566
Portugal,2021.5,7.321666666666666,Portugal,0.7595089903181189,12.152143845089903
Spain,2021.5,7.32,Spain,0.7593360995850622,12.149377593360995
Costa Rica,2021.5,7.203333333333333,Costa Rica,0.7472337482710926,11.955739972337481
South Africa,2021.5,7.141666666666667,South Africa,0.7408367911479944,11.85338865836791
Malta,2021.5,7.083333333333333,Malta,0.7347856154910096,11.756569847856154
Trinidad and Tobago,2021.5,7.081666666666666,Trinidad and Tobago,0.7346127247579529,11.753803596127247
Cape Verde,2021.5,7.0,Cabo Verde,0.7261410788381742,11.618257261410788
Jamaica,2021.5,6.963333333333334,Jamaica,0.7223374827109267,11.557399723374827
Slovenia,2021.5,6.905,Slovenia,0.7162863070539419,11.46058091286307
Botswana,2021.5,6.788333333333333,Botswana,0.7041839557399723,11.266943291839556
Italy,2021.5,6.608333333333333,Italy,0.6855117565698479,10.968188105117566
United States,2021.5,6.608333333333333,United States,0.6855117565698479,10.968188105117566
Czechia,2021.5,6.43,Czechia,0.66701244813278,10.67219917012448
Montenegro,2021.5,6.428333333333334,Montenegro,0.6668395573997233,10.669432918395573
Lithuania,2021.5,6.428333333333334,Lithuania,0.6668395573997233,10.669432918395573
Hungary,2021.5,6.37,Hungary,0.6607883817427386,10.572614107883817
Slovakia,2021.5,6.368333333333333,Slovakia,0.6606154910096819,10.56984785615491
Bhutan,2021.5,6.359999999999999,Bhutan,0.6597510373443982,10.556016597510371
Latvia,2021.5,6.308333333333334,Latvia,0.6543914246196404,10.470262793914246
Greece,2021.5,6.201666666666667,Greece,0.6433264177040111,10.293222683264178
Colombia,2021.5,6.13,Colombia,0.6358921161825726,10.174273858921161
Suriname,2021.5,6.071666666666666,Suriname,0.6298409405255877,10.077455048409403
Poland,2021.5,6.07,Poland,0.6296680497925311,10.074688796680498
Croatia,2021.5,6.07,Croatia,0.6296680497925311,10.074688796680498
Papua New Guinea,2021.5,6.07,Papua New Guinea,0.6296680497925311,10.074688796680498
Panama,2021.5,6.07,Panama,0.6296680497925311,10.074688796680498
East Timor,2021.5,6.013333333333333,Timor-Leste,0.6237897648686029,9.980636237897647
Albania,2021.5,5.8933333333333335,Albania,0.61134163208852,9.78146611341632
Romania,2021.5,5.8933333333333335,Romania,0.61134163208852,9.78146611341632
North Macedonia,2021.5,5.891666666666667,North Macedonia,0.6111687413554633,9.778699861687413
Guyana,2021.5,5.833333333333333,Guyana,0.6051175656984785,9.681881051175656
Serbia,2021.5,5.773333333333333,Serbia,0.598893499308437,9.582295988934993
Senegal,2021.5,5.711666666666667,Senegal,0.5924965421853389,9.479944674965422
Bulgaria,2021.5,5.655,Bulgaria,0.5866182572614108,9.385892116182573
Mongolia,2021.5,5.651666666666666,Mongolia,0.5862724757952973,9.380359612724757
Cyprus,2021.5,5.538333333333334,Cyprus,0.5745159059474413,9.19225449515906
Benin,2021.5,5.535,Benin,0.5741701244813278,9.186721991701244
Bangladesh,2021.5,5.486666666666667,Bangladesh,0.5691562932226832,9.106500691562932
Paraguay,2021.5,5.476666666666667,Paraguay,0.568118948824343,9.089903181189488
Peru,2021.5,5.4750000000000005,Peru,0.5679460580912863,9.08713692946058
Kenya,2021.5,5.418333333333334,Kenya,0.5620677731673582,8.993084370677732
Thailand,2021.5,5.416666666666667,Thailand,0.5618948824343015,8.990318118948824
Namibia,2021.5,5.36,Namibia,0.5560165975103735,8.896265560165975
Sri Lanka,2021.5,5.355,Sri Lanka,0.5554979253112033,8.887966804979254
Nepal,2021.5,5.3,Nepal,0.5497925311203319,8.79668049792531
Brazil,2021.5,5.24,Brazil,0.5435684647302904,8.697095435684647
Ghana,2021.5,5.178333333333334,Ghana,0.5371715076071922,8.594744121715076
Moldova,2021.5,5.178333333333334,Moldova,0.5371715076071922,8.594744121715076
Mexico,2021.5,5.176666666666667,Mexico,0.5369986168741355,8.591977869986168
Argentina,2021.5,5.12,Argentina,0.5311203319502075,8.49792531120332
Armenia,2021.5,5.118333333333333,Armenia,0.5309474412171508,8.495159059474412
Dominican Republic,2021.5,5.0616666666666665,Dominican Republic,0.5250691562932226,8.401106500691562
Tanzania,2021.5,5.06,Tanzania,0.5248962655601659,8.398340248962654
Fiji,2021.5,5.06,Fiji,0.5248962655601659,8.398340248962654
Ecuador,2021.5,5.06,Ecuador,0.5248962655601659,8.398340248962654
Pakistan,2021.5,5.001666666666667,Pakistan,0.5188450899031812,8.3015214384509
Turkey,2021.5,5.0,Türkiye,0.5186721991701244,8.29875518672199
Philippines,2021.5,4.94,Philippines,0.5124481327800829,8.199170124481327
Tunisia,2021.5,4.819999999999999,Tunisia,0.4999999999999999,7.999999999999998
Morocco,2021.5,4.581666666666666,Morocco,0.47527662517289065,7.6044260027662505
Rwanda,2021.5,4.348333333333334,Rwanda,0.4510719225449516,7.217150760719226
Gambia,2021.5,4.29,Gambia,0.4450207468879668,7.1203319502074685
Malawi,2021.5,4.29,Malawi,0.4450207468879668,7.1203319502074685
Qatar,2021.5,4.2299999999999995,Qatar,0.43879668049792525,7.020746887966804
United Arab Emirates,2021.5,4.17,United Arab Emirates,0.4325726141078838,6.9211618257261405
Lesotho,2021.5,4.083333333333333,Lesotho,0.42358229598893493,6.777316735822959
Honduras,2021.5,4.05,Honduras,0.4201244813278008,6.7219917012448125
Bolivia,2021.5,4.05,Bolivia,0.4201244813278008,6.7219917012448125
Guatemala,2021.5,4.048333333333333,Guatemala,0.4199515905947441,6.719225449515905
